Master_ID,Title,Year,Venue,DOI,Working_Relevance_Tier,Relevance_Score,Elicit_Priority,Eligible_Target,Historical_Data,Technical_Indicators,Fundamental_Data,Financial_News,Social_Media,Sentiment,FinBERT_BERT_RoBERTa,LLM_FinGPT,Multimodal,Fusion,Transformer_Attention,LSTM_GRU,Optimization,Metaheuristic,XAI,Temporal_Validation,Indian_Market,Multi_Stock,Gap_Dimensions_Evidenced
M-0048,Reading Between the Reels: An AI-Driven Approach to Analysing Movie Review Sentiment and Market Returns,2026,International Journal of Finance and Economics,10.1002/ijfe.70129,A_Direct_Methodological_Priority,24,High,Return,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Sentiment; FinBERT_BERT_RoBERTa; LLM_FinGPT; Temporal_Validation
M-1806,Secure Multibranch Deep Learning Framework for Effective Stock Sentiment Analysis,2026,IEEE Transactions on Computational Social Systems,10.1109/tcss.2026.3691026,A_Direct_Methodological_Priority,24,High,Price; Return,Unclear,Yes,Unclear,Yes,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; Financial_News; Sentiment; FinBERT_BERT_RoBERTa
M-2516,Symmetry-Aware Stock Prediction Based on Optimized Multi-Module Collaborative Features with LSTM-CBAM-Time2Vec-KAN,2026,Symmetry,10.3390/sym18071198,A_Direct_Methodological_Priority,24,High,Price; Direction/Movement,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Multimodal; Fusion; Transformer_Attention; Optimization
M-0523,A multimodal deep learning framework for constructing a market sentiment index from stock news,2025,Big Data Research,10.1016/j.bdr.2025.100535,A_Direct_Methodological_Priority,24,High,Return,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; Sentiment; Multimodal; Fusion
M-2349,A Novel Hybrid Temporal Fusion Transformer Graph Neural Network Model for Stock Market Prediction,2025,AppliedMath,10.3390/appliedmath5040176,A_Direct_Methodological_Priority,24,High,Price,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Technical_Indicators; Sentiment; Fusion; Transformer_Attention; XAI
M-2766,Bimodal Stock Price Prediction Based on Holt-Winters Exponential Smoothing and PCA Whitening Transformation,2025,IAENG International Journal of Computer Science,,A_Direct_Methodological_Priority,24,High,Price,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,FinBERT_BERT_RoBERTa; Multimodal; Fusion; Transformer_Attention
M-0796,Effect of exogenous market sentiment indicators in stock price direction prediction,2025,Expert Systems with Applications,10.1016/j.eswa.2025.127696,A_Direct_Methodological_Priority,24,High,Price; Direction/Movement,Yes,Yes,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Technical_Indicators; Fundamental_Data; Sentiment; XAI
M-1942,MAOA-DRN: Mayfly Adam Optimization Based Deep Residual Network - A Framework for Stock Market Prediction,2025,Journal of Intelligent and Fuzzy Systems,10.1177/18758967251353038,A_Direct_Methodological_Priority,24,High,Price; Trend,Unclear,Yes,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; Financial_News; Sentiment; Fusion
M-0124,Multimodal market information fusion for stock price trend prediction in the pharmaceutical sector: Multimodal market information fusion for stock price trend prediction in the pharmaceutical sector: H. Wang et al.,2025,Applied Intelligence,10.1007/s10489-024-05894-0,A_Direct_Methodological_Priority,24,High,Price; Direction/Movement; Trend,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Sentiment; Multimodal; Fusion; Transformer_Attention
M-0226,Predicting Stock Price Direction with LSTM: A Fusion of Financial Sentiment Analysis with Technical Indicators,2025,Asia-Pacific Financial Markets,10.1007/s10690-025-09560-4,A_Direct_Methodological_Priority,24,High,Price; Direction/Movement,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; Sentiment; Fusion; Optimization
M-2541,Research on Stock Index Prediction Based on Sentiment Lexicon and BERT-BiLSTM; [基于情绪词典和 BERT-BiLSTM 的股指预测研究],2025,Computer Engineering and Applications,10.3778/j.issn.1002-8331.2405-0064,A_Direct_Methodological_Priority,24,High,Price,Unclear,Yes,Unclear,Yes,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; Financial_News; Sentiment; FinBERT_BERT_RoBERTa
M-1697,Bridging the Gap Between Machine and Human in Stock Prediction: Addressing Heterogeneity in Stock Market,2024,IEEE Access,10.1109/access.2024.3511613,A_Direct_Methodological_Priority,24,High,Price,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Technical_Indicators; FinBERT_BERT_RoBERTa; Transformer_Attention; Temporal_Validation; Multi_Stock
M-2646,Enhancing Stock Market Trend Prediction Using Explainable Artificial Intelligence and Multi-source Data,2024,Fusion: Practice and Applications,10.54216/fpa.160211,A_Direct_Methodological_Priority,24,High,Trend,Unclear,Yes,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Technical_Indicators; Sentiment; Multimodal; XAI
M-2091,FinBERT and LSTM-based novel model for stock price prediction using technical indicators and financial news,2024,International Journal of Economics and Business Research,10.1504/ijebr.2024.139286,A_Direct_Methodological_Priority,24,High,Price; Direction/Movement,Unclear,Yes,Unclear,Yes,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; Financial_News; Sentiment; FinBERT_BERT_RoBERTa
M-1675,HyBiLSTM: Multivariate Bitcoin Price Forecasting Using Hybrid Time-Series Models with Bidirectional LSTM,2024,IEEE Access,10.1109/access.2024.3386029,A_Direct_Methodological_Priority,24,High,Price,Yes,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Sentiment; Optimization; Metaheuristic; XAI
M-2037,Predicting Stock Market Movements Through Multisource Data Fusion Graphs: An Approach Employing Graph Convolutional Neural Network,2024,International Journal of Engineering Trends and Technology,10.14445/22315381/ijett-v72i6p102,A_Direct_Methodological_Priority,24,High,Direction/Movement; Trend,Yes,Yes,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Yes,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Technical_Indicators; Sentiment; Multimodal; Fusion; Indian_Market
M-0867,Sentiment trading with large language models,2024,Finance Research Letters,10.1016/j.frl.2024.105227,A_Direct_Methodological_Priority,24,High,Return,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; LLM_FinGPT; Transformer_Attention
M-2536,Stock Price Prediction Integrating Investor Sentiment Based on S_AM_BiLSTM Model; [融合投资者情绪的 S_AM_BiLSTM 股价预测模型],2024,Computer Engineering and Applications,10.3778/j.issn.1002-8331.2305-0059,A_Direct_Methodological_Priority,24,High,Price,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; Sentiment; Multimodal; Transformer_Attention
M-0378,A hybrid prophet-based framework for multimodal forecasting with market sentiment signals,2026,Discover Artificial Intelligence,10.1007/s44163-026-00866-4,A_Direct_Methodological_Priority,23,Medium,Trend,Yes,Unclear,Unclear,Yes,Yes,Yes,Yes,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Transformer_Attention
M-2605,An Explainable AI for Stock Market Prediction: A Machine Learning Approach with XAI and Deep Neural Networks,2026,Journal of Computational and Cognitive Engineering,10.47852/bonviewjcce52026428,A_Direct_Methodological_Priority,23,Medium,Price,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Technical_Indicators; Sentiment; Transformer_Attention; XAI
M-2641,An Interpretable Deep Learning Based Decision Support System for Stock Forecasting and Investment Recommendation Using Temporal Fusion Transformer,2026,Journal of Theoretical and Applied Information Technology,10.5281/zenodo.18824437,A_Direct_Methodological_Priority,23,High,Price; Direction/Movement,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Technical_Indicators; Fundamental_Data; Fusion; Transformer_Attention; XAI
M-2084,Analysing the effectiveness of financial news sentiments on stock price prediction of 12 Indian sectoral stock indices using a hybrid LSTM-GRU model,2026,International Journal of Business Intelligence and Data Mining,10.1504/ijbidm.2026.151262,A_Direct_Methodological_Priority,23,Medium,Price,Yes,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; Sentiment; Multimodal
M-0887,Does sentiment lead prices? Evidence from individual stock price discovery,2026,Finance Research Letters,10.1016/j.frl.2026.110532,A_Direct_Methodological_Priority,23,Medium,Price,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Technical_Indicators; Sentiment; XAI; Temporal_Validation
M-2098,Enhanced stock price prediction with a CNN-BiLSTM deep learning approach optimised by genetic algorithms,2026,International Journal of Intelligent Enterprise,10.1504/ijie.2025.10073655,A_Direct_Methodological_Priority,23,Medium,Price,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Yes,Unclear,Technical_Indicators; Optimization; Metaheuristic; Indian_Market
M-0212,"Enhancing Financial Forecasting with Dynamic Window Optimization, Sentiment Analysis, and Convolutional Transformers",2026,Computational Economics,10.1007/s10614-026-11332-9,A_Direct_Methodological_Priority,23,Medium,Price,Yes,Yes,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; Financial_News; Sentiment; Transformer_Attention
M-0981,Financial news sentiment meets market data: A large language model-based approach to stock price prediction,2026,Information Sciences,10.1016/j.ins.2026.123711,A_Direct_Methodological_Priority,23,Medium,Price,Yes,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; Sentiment; LLM_FinGPT; Transformer_Attention
M-0696,LiteFormer: A lightweight encoder-only Transformer for efficient financial time series forecasting across global stock indices,2026,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2025.113681,A_Direct_Methodological_Priority,23,Medium,Price,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Sentiment; Multimodal; Transformer_Attention; XAI
M-2494,Macro–Market Fusion with Cross-Attention for Equity Return Prediction,2026,Mathematics,10.3390/math14081361,A_Direct_Methodological_Priority,23,Medium,Return,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Technical_Indicators; Fusion; XAI; Temporal_Validation
M-1293,MEHGT-LKG: Multimodal edge-enhanced heterogeneous graph transformer with LLM-driven knowledge graphs for stock trend prediction,2026,Pattern Recognition,10.1016/j.patcog.2026.114152,A_Direct_Methodological_Priority,23,High,Trend,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,LLM_FinGPT; Multimodal; Fusion; Transformer_Attention
M-2711,Meta-Learner Driven Deep Ensemble Learning for Real-Time Stock Market Prediction with Dynamic Technical and Fundamental Indicators,2026,Journal of Intelligent Decision Making and Information Science,10.59543/jidmis.v3.959,A_Direct_Methodological_Priority,23,Medium,Price,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Fundamental_Data; XAI; Temporal_Validation
M-1091,Modeling Inter-Firm Dependencies with Temporal Graph Neural Networks for Stock Price Prediction,2026,Journal of Economy and Technology,10.1016/j.ject.2026.09.001,A_Direct_Methodological_Priority,23,Medium,Price; Return; Direction/Movement,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Transformer_Attention
M-2187,Predicting Stock Market Returns Using Temporal Fusion Transformer: A Comprehensive Data-Driven Approach,2026,"Iranian Journal of Accounting, Auditing and Finance",10.22067/ijaaf.2026.47513.1562,A_Direct_Methodological_Priority,23,Medium,Return,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Fusion; Transformer_Attention; XAI; Temporal_Validation
M-0092,Predicting stock price movements using hyperbolic space representation learning with cross-attention and multimodal data fusion,2026,Neural Computing and Applications,10.1007/s00521-026-12118-8,A_Direct_Methodological_Priority,23,High,Price; Direction/Movement,Yes,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; Multimodal; Fusion; Transformer_Attention
M-1950,Prioritizing influence and recency using a hybrid FTG model with rank-based weighting for stock trend prediction and tweet sentiment analysis,2026,Journal of Big Data,10.1186/s40537-026-01390-z,A_Direct_Methodological_Priority,23,Medium,Trend,Yes,Unclear,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Sentiment; FinBERT_BERT_RoBERTa; Temporal_Validation; Multi_Stock
M-1026,Sentiment-based stock price prediction in developing countries: Evidence from Iran,2026,International Review of Economics and Finance,10.1016/j.iref.2026.105423,A_Direct_Methodological_Priority,23,Medium,Price; Direction/Movement,Unclear,Yes,Unclear,Yes,Yes,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; Financial_News; Sentiment; LLM_FinGPT
M-0214,Sentiment-Driven Improved Stock Prediction: An Evidence from India,2026,Computational Economics,10.1007/s10614-026-11376-x,A_Direct_Methodological_Priority,23,Medium,Price,Yes,Yes,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Technical_Indicators; Sentiment; Optimization; Indian_Market
M-2368,"Stock Forecasting Based on Informational Complexity Representation: A Framework of Wavelet Entropy, Multiscale Entropy, and Dual-Branch Network",2026,Entropy,10.3390/e28040424,A_Direct_Methodological_Priority,23,High,Price,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Multimodal; Fusion; Transformer_Attention; XAI
M-0369,Stock market price prediction using intelligence herpestidae algorithm with modified triplet attention-based hybrid deep learning model,2026,SN Business and Economics,10.1007/s43546-026-01142-4,A_Direct_Methodological_Priority,23,Medium,Price,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Yes,Unclear,Yes,Unclear,Financial_News; Optimization; XAI; Indian_Market
M-1531,Stock prediction with investor sentiment based on text mining and machine learning: evidence from Chinese-listed financial institutions,2026,Applied Economics,10.1080/00036846.2026.2645239,A_Direct_Methodological_Priority,23,Medium,Price,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Sentiment; FinBERT_BERT_RoBERTa; Transformer_Attention; XAI
M-0792,A hybrid optimized deep learning model via the Golden Jackal Optimizer for accurate stock price forecasting,2025,Expert Systems with Applications,10.1016/j.eswa.2025.127287,A_Direct_Methodological_Priority,23,Medium,Price,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Fundamental_Data; Optimization; Metaheuristic
M-2611,An Efficient Hybrid Model for Stock Market Price Prediction Using CNN-BiLSTM with Attention Mechanism and Sentimental Analysis,2025,"Engineering, Technology and Applied Science Research",10.48084/etasr.11886,A_Direct_Methodological_Priority,23,Medium,Price,Unclear,Yes,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; Financial_News; Sentiment; Transformer_Attention
M-1830,An Innovative Sentiment Influenced Stock Market Prediction Based on Dual Scale Adaptive Residual Long Short Term Memory With Attention Mechanism,2025,Computational Intelligence,10.1111/coin.70073,A_Direct_Methodological_Priority,23,Medium,Price,Unclear,Unclear,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Transformer_Attention
M-2178,"Artificial intelligence-based stock market price prediction, a review",2025,Mathematical Models in Engineering,10.21595/mme.2025.24861,A_Direct_Methodological_Priority,23,Medium,Price; Trend,Unclear,Yes,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Technical_Indicators; Sentiment; Transformer_Attention; XAI
M-0288,Combining Interpretable Embedded Multicriteria Feature Cross-Selection Engineering and Machine Learning to Mimic the Brain for Stock Trading Signal Prediction,2025,Cognitive Computation,10.1007/s12559-024-10365-2,A_Direct_Methodological_Priority,23,Medium,Price,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Technical_Indicators; Fusion; Optimization; XAI
M-0304,Data-Driven Precision by a Novel Fusion of Deer Hunting Optimization and LSTM Networks for Stock Price Forecasting,2025,National Academy Science Letters,10.1007/s40009-024-01534-w,A_Direct_Methodological_Priority,23,Medium,Price,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Yes,Unclear,Unclear,Yes,Unclear,Fusion; Optimization; Metaheuristic; Indian_Market
M-2150,Deep Learning Sentiment Analysis of News and Social Media in Geopolitical Crises,2025,Ingenierie des Systemes d'Information,10.18280/isi.300825,A_Direct_Methodological_Priority,23,Medium,Return,Unclear,Unclear,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Transformer_Attention; Indian_Market
M-2281,Enhancing Stock Market Predictions Using Hybrid Deep Learning Models with Sentiment Analysis and Feature Engineering,2025,Informatica (Slovenia),10.31449/inf.v49i33.8079,A_Direct_Methodological_Priority,23,Medium,Price; Direction/Movement,Unclear,Yes,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; Financial_News; Sentiment; Transformer_Attention
M-0239,Ensemble time series models for stock price prediction and portfolio optimization with sentiment analysis,2025,Journal of Intelligent Information Systems,10.1007/s10844-025-00928-6,A_Direct_Methodological_Priority,23,Medium,Price,Yes,Yes,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Technical_Indicators; Financial_News; Sentiment; Indian_Market
M-0173,"Forecasting Brazilian Stock Market Using Sentiment Indices from Textual Data, Chat-GPT-Based and Technical Indicators",2025,Computational Economics,10.1007/s10614-024-10835-7,A_Direct_Methodological_Priority,23,Medium,Return,Unclear,Yes,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Technical_Indicators; Financial_News; Sentiment; Temporal_Validation
M-0241,From news to trends: a financial time series forecasting framework with LLM-driven news sentiment analysis and selective state spaces,2025,Journal of Intelligent Information Systems,10.1007/s10844-025-00971-3,A_Direct_Methodological_Priority,23,Medium,Price,Yes,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; Sentiment; LLM_FinGPT; Transformer_Attention
M-1195,Impact of global indices on forecasting the S&P 500 index,2025,Machine Learning with Applications,10.1016/j.mlwa.2025.100750,A_Direct_Methodological_Priority,23,Medium,Price,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Yes,Yes,Unclear,Yes,Optimization; XAI; Temporal_Validation; Multi_Stock
M-2077,Informative Inputs Over Complex Features: Long Short-Term Memory Forecasting in the Saudi Stock Market,2025,International Journal of Advanced Computer Science and Applications,10.14569/ijacsa.2025.0161186,A_Direct_Methodological_Priority,23,High,Price,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Technical_Indicators; Fundamental_Data; XAI
M-0230,Integrating Taiwan financial BERT sentiment analysis with CNN-BiLSTM-SA model for stock prediction,2025,Discover Computing,10.1007/s10791-025-09515-3,A_Direct_Methodological_Priority,23,Medium,Price,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Transformer_Attention
M-0231,Leveraging large language model as news sentiment predictor in stock markets: a knowledge-enhanced strategy,2025,Discover Computing,10.1007/s10791-025-09573-7,A_Direct_Methodological_Priority,23,Medium,Price,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; LLM_FinGPT
M-2509,Multi-Sensor Temporal Fusion Transformer for Stock Performance Prediction: An Adaptive Sharpe Ratio Approach,2025,Sensors,10.3390/s25030976,A_Direct_Methodological_Priority,23,High,Price; Direction/Movement,Yes,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Fundamental_Data; Sentiment; Fusion; Transformer_Attention
M-0315,Stock movement prediction with multimodal stable fusion via gated cross-attention mechanism,2025,Complex and Intelligent Systems,10.1007/s40747-025-02023-3,A_Direct_Methodological_Priority,23,High,Price; Direction/Movement,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Sentiment; Multimodal; Fusion; Transformer_Attention
M-0022,Stock Price Forecasting With Integration of Sectoral Behavior: A Deep Auto-Optimized Multimodal Framework,2025,Journal of Forecasting,10.1002/for.3265,A_Direct_Methodological_Priority,23,Medium,Price,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Sentiment; Multimodal; Optimization
M-0072,StockAI 3.0: Ensemble fusion paradigms using novel gating mechanism in long short-term memory architectures for forecasting sentiment-based stock trends,2025,Soft Computing,10.1007/s00500-025-10901-8,A_Direct_Methodological_Priority,23,High,Trend,Yes,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Fundamental_Data; Sentiment; Fusion
M-0463,Cross-modal scenario generation for stock price forecasting using Wasserstein GAN and GCN,2024,Applied Soft Computing,10.1016/j.asoc.2024.112342,A_Direct_Methodological_Priority,23,High,Price,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Financial_News; Multimodal; Fusion; Transformer_Attention
M-1622,Multi-feature fusion stock prediction based on knowledge graph,2024,Electronic Library,10.1108/el-02-2023-0053,A_Direct_Methodological_Priority,23,Medium,Price; Trend,Unclear,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Financial_News; Sentiment; Fusion; Multi_Stock
M-0667,Multi-sentiment fusion for stock price crash risk prediction using an interpretable ensemble learning method,2024,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2024.108842,A_Direct_Methodological_Priority,23,Medium,Price,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Sentiment; Fusion; Optimization; XAI
M-2190,A comprehensive model to support investment decisions based on deep learning and evolutionary algorithms,2026,Journal of Applied Research and Technology,10.22201/icat.24486736e.2026.24.1.2885,A_Direct_Methodological_Priority,22,High,Price,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Technical_Indicators; Fundamental_Data; Metaheuristic
M-0001,A Hybrid Framework for Stock Price Forecasting Using Metaheuristic Feature Selection Approaches and Transformer Models Enhanced by Temporal Embedding and Attention Pruning,2026,Applied AI Letters,10.1002/ail2.70018,A_Direct_Methodological_Priority,22,Medium,Price,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Transformer_Attention; Optimization; Metaheuristic; XAI
